#{"t_start": 1767282671.5226421, "env_id": "None"}
r,l,t
102.88174,23,2.132934
75.97452,17,2.137714
76.313965,17,2.137736
98.13288,22,2.137741
74.553665,17,2.139333
151.84804,33,2.13935
86.8503,19,2.145841
101.42772,23,2.149806
96.98728,21,2.149828
104.52431,25,2.152293
133.82251,30,2.15621
128.8985,30,2.157735
81.104774,19,2.159302
139.59915,30,2.159319
78.39441,17,2.161394
80.68159,18,2.162767
76.48557,17,2.170318
80.60554,18,2.170356
81.45529,18,2.171994
147.6813,33,2.173533
96.61701,21,2.175372
96.787125,21,2.17539
95.74439,21,2.184342
80.93759,18,2.1948
88.10264,19,2.196797
105.52193,24,2.200536
119.55943,26,2.200567
93.954,21,2.200572
90.19794,20,2.20524
96.913826,21,2.205264
116.06953,26,2.208286
76.440994,17,2.209731
93.25786,23,2.214763
71.67233,16,2.214793
98.84369,23,2.214799
98.08294,22,2.214802
168.91423,37,2.220217
74.65571,17,2.229815
75.4479,17,2.229849
88.218414,19,2.232566
70.72864,16,2.232597
101.93256,22,2.235754
104.46896,23,2.239637
96.08103,21,2.244149
116.86893,25,2.247515
180.68698,40,2.247544
179.51695,41,2.2505
88.15942,20,2.253241
110.30436,24,2.254645
64.26005,15,2.254662
138.15321,31,2.26192
76.22529,17,2.26364
92.922615,20,2.263663
88.007614,20,2.265455
148.34648,32,2.26931
143.98026,32,2.269336
155.62714,33,2.270842
125.116844,27,2.27656
86.064964,19,2.278109
84.34267,20,2.289387
70.31743,16,2.289422
80.98869,18,2.295187
75.59429,17,2.295221
144.82303,33,2.296993
74.351166,17,2.299513
158.59363,34,2.303705
101.97352,22,2.303729
156.15971,34,2.310524
114.90624,26,2.315541
94.75751,21,2.31841
164.1314,36,2.318431
187.8954,40,2.318437
163.90213,36,2.320284
68.983025,16,2.320301
78.89988,18,2.323366
76.034744,17,2.330447
139.29074,31,2.335382
99.65191,22,2.336743
177.09453,37,2.338064
95.055,21,2.338081
71.29492,16,2.341803
89.45511,20,2.341822
71.34994,16,2.346521
75.080086,17,2.349373
76.26517,17,2.349392
76.24096,17,2.351046
139.1817,33,2.357267
89.55319,20,2.35729
82.20782,21,2.357295
129.60329,30,2.358956
80.79676,18,2.366602
99.193954,21,2.36664
81.50555,18,2.369513
75.64169,17,2.37101
94.54485,21,2.375283
126.45272,29,2.375304
106.42415,24,2.382836
96.28528,21,2.38287
92.86265,20,2.384046
91.91364,20,2.384063
118.98089,27,2.385595
76.064964,17,2.385612
79.230354,18,2.386933
76.10867,17,2.38695
101.37789,22,2.388295
70.08451,16,2.394732
85.0424,19,2.399299
130.52567,29,2.406902
71.306816,16,2.41018
120.97787,26,2.414203
73.87415,17,2.414233
81.62505,18,2.417432
81.19637,18,2.420149
121.67553,26,2.421517
129.05281,29,2.421534
92.774,21,2.423059
102.36889,22,2.424727
129.63301,28,2.433165
78.30251,18,2.433203
93.75717,21,2.433208
145.33095,34,2.436584
118.08621,27,2.4382
91.12213,20,2.442202
80.26628,18,2.451551
109.977356,24,2.453157
76.35875,17,2.453175
76.49887,17,2.454632
82.290016,19,2.454648
99.50555,22,2.454653
172.14612,39,2.457365
131.4674,28,2.464103
65.182335,16,2.46414
132.1521,29,2.466443
80.788536,18,2.471321
140.36641,29,2.474227
88.26436,20,2.481889
120.44909,26,2.481924
125.711395,28,2.48508
122.09906,28,2.485103
75.22361,17,2.48802
84.88691,19,2.489468
75.92332,17,2.499202
115.632645,25,2.502669
107.518974,24,2.504121
107.93951,25,2.504138
71.52093,16,2.505421
101.15713,22,2.507951
124.64619,30,2.509639
70.48793,16,2.511198
97.52106,23,2.514256
85.907326,19,2.515924
149.34213,34,2.520317
87.40924,21,2.525702
75.16114,17,2.532746
166.5762,36,2.534411
76.186066,17,2.534435
128.78154,28,2.536448
78.59048,18,2.536465
111.61677,25,2.53647
98.5477,22,2.546627
156.98831,33,2.546667
128.44147,28,2.550641
91.16866,20,2.560894
108.52973,24,2.562794
124.82922,30,2.566368
71.33927,16,2.571945
139.77899,32,2.573416
79.77296,18,2.574842
90.42389,20,2.576305
86.46667,19,2.576324
109.009026,24,2.583472
85.22251,19,2.586226
86.4986,19,2.586244
91.75037,20,2.590316
190.55775,41,2.590333
185.59244,40,2.593288
78.66328,18,2.59585
161.42084,37,2.599088
100.77188,23,2.601901
76.45988,17,2.604464
90.95303,20,2.604481
91.69329,20,2.607408
196.25012,42,2.615322
94.58744,23,2.618826
116.80639,28,2.618848
107.19384,24,2.618853
94.850235,21,2.620184
86.59748,19,2.620202
96.027115,21,2.627198
87.633965,19,2.630964
93.7501,22,2.636048
124.928116,27,2.636082
75.269394,17,2.64027
128.93172,28,2.641644
103.60904,23,2.650887
90.717384,20,2.653829
82.762856,18,2.653846
138.8668,30,2.655486
96.80961,21,2.658453
151.82867,33,2.664274
98.7187,24,2.664305
84.58908,19,2.671646
125.62143,29,2.673021
132.28064,30,2.674358
86.80132,19,2.676008
189.43088,40,2.682464
108.37859,25,2.682496
127.00156,29,2.685016
145.09433,32,2.687576
95.35156,21,2.687593
103.2213,23,2.695212
103.145325,23,2.697657
120.065445,30,2.69769
83.413536,20,2.700995
79.56078,18,2.702889
118.90705,26,2.70427
123.080414,29,2.705461
69.10995,16,2.709196
92.0067,22,2.712831
126.96994,29,2.715646
80.82385,18,2.719986
108.0343,25,2.720004
85.81584,19,2.721768
103.164696,23,2.721786
101.86305,22,2.723176
74.682755,17,2.724719
78.98235,18,2.728114
71.60326,16,2.734154
75.80595,17,2.737558
167.46164,37,2.739057
104.1272,23,2.739074
76.32625,17,2.740382
74.92611,17,2.74771
73.25435,17,2.750596
128.56432,27,2.750622
124.58335,29,2.753123
82.31945,19,2.755322
86.25113,19,2.756809
75.72482,17,2.756829
86.13739,19,2.756834
98.06684,22,2.764591
93.81772,22,2.772779
136.46306,31,2.772818
76.47253,17,2.772824
85.2847,19,2.77463
76.11363,17,2.774649
65.71526,15,2.782905
112.761375,25,2.785166
129.77808,30,2.787894
91.41972,20,2.787911
95.57297,22,2.787916
82.07872,18,2.789282
79.90879,18,2.789299
91.51039,20,2.792202
79.76895,18,2.795656
85.35874,19,2.803669
107.433655,24,2.810885
80.565865,18,2.812974
115.68873,25,2.814415
120.096535,26,2.814433
169.35284,35,2.814438
71.065315,16,2.815748
76.2856,17,2.815765
75.49714,17,2.815769
76.23017,17,2.817439
88.43439,20,2.817457
126.75177,28,2.818897
191.89922,41,2.821688
84.23584,19,2.826053
76.74406,17,2.828605
148.57964,30,2.834854
71.58748,16,2.836215
80.944984,18,2.837569
142.3764,30,2.8388
81.50606,18,2.84004
79.707,18,2.841421
76.31448,17,2.841439
71.21155,16,2.848288
108.15115,24,2.848306
98.548195,22,2.850541
92.03831,20,2.85056
110.691734,24,2.851968
80.90158,18,2.855265
74.73423,17,2.859481
144.41731,31,2.860865
131.10666,32,2.860882
139.81662,32,2.862385
76.242096,17,2.866341
86.31436,19,2.867967
92.12262,20,2.867986
97.63945,22,2.870137
76.43926,17,2.876196
114.30876,24,2.878824
72.49696,17,2.87884
100.381516,22,2.883154
91.95181,21,2.883171
74.43512,17,2.885902
90.898766,20,2.885917
70.504616,16,2.885922
71.35953,16,2.891092
95.54407,21,2.892484
75.84126,17,2.894277
76.46942,17,2.894295
184.2758,39,2.8943
119.94696,26,2.902628
98.14318,22,2.904075
170.81607,38,2.907957
76.35914,17,2.910658
83.8528,19,2.914151
111.03387,26,2.914167
94.97773,21,2.917489
111.01218,24,2.919366
83.900665,19,2.920873
128.90536,29,2.922423
94.32198,21,2.926978
150.15898,34,2.930114
109.555244,24,2.931482
153.32098,34,2.934108
105.57044,23,2.938089
146.80954,31,2.940724
81.22025,18,2.940742
80.89996,18,2.940747
148.77785,33,2.942396
111.645584,24,2.94436
114.66131,28,2.944377
80.398674,18,2.945847
87.13834,19,2.945864
108.561935,24,2.947311
96.694855,21,2.953337
76.39664,17,2.956675
113.33319,25,2.95806
95.69191,21,2.965748
80.54264,18,2.96955
81.528694,18,2.969572
80.866295,19,2.971039
143.86389,30,2.972522
99.13058,23,2.973945
97.793884,21,2.975379
113.525475,24,2.980349
159.09912,35,2.981694
71.46775,16,2.981711
112.64495,27,2.984252
113.553635,27,2.985579
99.544945,23,2.986933
106.16532,25,2.992208
95.52056,21,2.994798
86.98858,19,2.994815
146.36539,33,2.99482
75.5201,17,2.996375
107.97983,24,3.003154
114.31198,24,3.004692
76.25802,17,3.006196
76.6225,17,3.006213
74.29431,17,3.010453
220.18123,44,3.01047
123.1298,29,3.013325
130.54259,28,3.01469
94.626,21,3.017561
128.1058,29,3.022071
77.7339,18,3.023569
87.002174,19,3.023585
69.419495,16,3.026358
94.964485,21,3.026374
114.77479,24,3.02768
149.77121,34,3.033307
66.84777,15,3.034772
100.329765,22,3.036079
87.934395,19,3.037422
81.61146,18,3.04018
91.12211,20,3.045762
114.81679,25,3.045779
80.20663,18,3.047129
76.50025,17,3.047145
130.07854,30,3.048633
76.07004,17,3.050125
160.4785,38,3.050142
76.24737,17,3.050147
146.46596,34,3.05428
71.79335,16,3.058243
80.88161,18,3.063469
107.98236,24,3.06808
84.27953,19,3.068099
124.4064,29,3.070014
154.34346,33,3.071683
82.68843,19,3.076834
85.97666,21,3.078493
81.07408,18,3.078509
91.275826,20,3.080132
142.68056,31,3.081553
100.81299,22,3.088825
120.347946,26,3.090454
79.54118,18,3.092124
137.77597,32,3.096331
76.38343,17,3.098077
80.883965,18,3.098093
117.527054,25,3.098098
86.28679,21,3.101145
75.79087,17,3.102604
74.894714,17,3.103925
174.72989,39,3.105249
111.401215,24,3.105266
75.26039,17,3.106596
170.7278,40,3.112999
123.61818,27,3.123507
109.1263,24,3.128988
80.298325,18,3.129006
144.33437,31,3.129011
75.12333,17,3.132159
81.64169,19,3.134332
100.04487,22,3.135892
103.97568,24,3.1374
87.89599,20,3.140598
132.14948,30,3.14209
138.99376,31,3.142106
116.366295,25,3.146249
128.33006,29,3.146275
119.47691,26,3.148992
71.45734,16,3.14901
121.02567,28,3.155138
71.48975,16,3.155159
