#{"t_start": 1766737065.6382568, "env_id": "None"}
r,l,t
73686.12,1000,91.994304
96249.87,1000,91.994307
105367.29,1000,93.822133
74312.375,1000,93.822173
105539.98,1000,93.82218
76965.06,1000,93.822184
110954.63,1000,93.822188
91022.46,1000,93.822191
82948.32,1000,93.822194
105427.3,1000,93.822197
100691.0,1000,93.8222
91153.84,1000,93.822203
80624.77,1000,93.822206
83945.234,1000,93.82221
96162.38,1000,93.822213
129462.195,1000,93.822216
104080.39,1000,93.822219
98447.95,1000,93.822222
118682.07,1000,96.094589
120089.3,1000,96.094628
86018.305,1000,96.094634
86886.914,1000,96.094638
117401.95,1000,96.094641
84465.88,1000,96.094644
92095.414,1000,96.094647
102203.43,1000,96.094651
99076.734,1000,96.094654
83644.836,1000,96.094657
95385.75,1000,96.09466
115836.17,1000,96.094663
90206.15,1000,96.094667
95120.93,1000,96.09467
86802.15,1000,96.094673
88222.24,1000,96.094676
94751.34,1000,97.902941
103785.625,1000,97.902983
107892.516,1000,97.90299
77928.65,1000,97.902994
115157.23,1000,97.902998
82013.19,1000,97.903001
83912.336,1000,97.903004
82170.72,1000,97.903007
84797.836,1000,97.903011
138663.28,1000,97.903014
119340.39,1000,97.903017
76289.8,1000,97.90302
111840.07,1000,97.903023
92015.84,1000,97.903027
95811.26,1000,97.90303
105644.39,1000,97.903033
94732.75,1000,100.159355
120237.66,1000,100.159395
132177.86,1000,100.159401
93425.71,1000,100.159405
79909.51,1000,100.159408
92239.805,1000,100.159417
110367.484,1000,100.159421
105633.086,1000,100.159425
77171.81,1000,100.159428
88562.586,1000,100.159431
87905.17,1000,100.159435
84755.49,1000,100.159438
87311.02,1000,100.159441
90188.98,1000,100.159444
70996.08,1000,100.159447
116226.125,1000,100.15945
123407.48,1000,101.953751
89270.36,1000,101.953794
108964.92,1000,101.9538
118606.5,1000,101.953804
113841.3,1000,101.953808
81240.125,1000,101.953811
96975.35,1000,101.953815
136880.42,1000,101.953818
86679.15,1000,101.953821
122682.82,1000,101.953824
121359.06,1000,101.953827
98204.836,1000,101.953831
96353.03,1000,101.953834
102681.64,1000,101.953837
84785.06,1000,101.95384
99543.586,1000,101.953844
105480.37,1000,104.206339
115823.336,1000,104.206378
83389.83,1000,104.206384
117424.5,1000,104.206388
82761.734,1000,104.206391
93691.76,1000,104.206394
132469.16,1000,104.206397
108268.805,1000,104.2064
84388.04,1000,104.206404
108268.484,1000,104.206407
108527.81,1000,104.206414
116445.17,1000,104.206418
110658.0,1000,104.206421
94261.53,1000,104.206424
88784.766,1000,104.206427
91965.44,1000,104.206431
137886.02,1000,106.058348
136238.83,1000,106.058386
112295.664,1000,106.058392
86459.7,1000,106.058395
95841.09,1000,106.058399
107280.336,1000,106.058402
101415.375,1000,106.058406
122534.56,1000,106.058412
88118.18,1000,106.058442
118732.92,1000,106.058471
134683.44,1000,106.058477
90392.05,1000,106.058482
142143.52,1000,106.058486
141234.75,1000,106.058491
82993.375,1000,106.058495
92877.25,1000,106.058499
112657.086,1000,108.325786
79764.97,1000,108.325826
132106.22,1000,108.325833
135163.52,1000,108.325837
97770.305,1000,108.325847
135337.88,1000,108.32585
111738.09,1000,108.325853
124722.875,1000,108.325856
118191.82,1000,108.325859
128216.5,1000,108.325862
120925.58,1000,108.325865
93628.65,1000,108.325868
92268.22,1000,108.325871
108026.28,1000,108.325874
126293.89,1000,108.325876
128983.84,1000,108.325879
141266.08,1000,110.11529
116927.766,1000,110.115325
79342.555,1000,110.115332
123057.13,1000,110.115337
142049.52,1000,110.11534
138259.72,1000,110.115344
133269.58,1000,110.115346
118835.02,1000,110.115349
101952.23,1000,110.115352
144918.53,1000,110.115355
89611.125,1000,110.115358
135485.88,1000,110.115361
133086.28,1000,110.115363
97061.61,1000,110.115366
107433.12,1000,110.115369
138397.39,1000,110.115372
107285.94,1000,111.926702
87433.1,1000,111.926741
139916.89,1000,111.926747
91249.44,1000,111.92675
105084.664,1000,111.926753
97855.36,1000,111.926757
97995.945,1000,111.92676
139930.52,1000,111.926763
90831.195,1000,111.926766
82162.54,1000,111.926769
141918.19,1000,111.926771
107571.25,1000,111.926774
138012.77,1000,111.926777
81087.24,1000,111.92678
124012.46,1000,111.926783
113545.336,1000,111.926785
142737.17,1000,114.22907
131722.19,1000,114.229111
129337.875,1000,114.229117
147558.22,1000,114.229121
113713.86,1000,114.229125
144486.36,1000,114.229128
114534.336,1000,114.229131
143535.27,1000,114.229134
141351.3,1000,114.229137
139709.78,1000,114.229141
143653.77,1000,114.229144
123251.92,1000,114.229147
140061.78,1000,114.22915
107677.914,1000,114.229153
127968.92,1000,114.229156
136613.14,1000,114.229159
142557.78,1000,116.042344
144364.45,1000,116.04238
131713.95,1000,116.042386
132245.77,1000,116.04239
127838.54,1000,116.042393
108168.74,1000,116.042397
100221.305,1000,116.0424
119746.195,1000,116.042403
81706.766,1000,116.042406
103217.33,1000,116.042413
137080.73,1000,116.042417
123450.03,1000,116.04242
134598.95,1000,116.042423
140868.89,1000,116.042427
142878.33,1000,116.042429
129578.88,1000,116.042433
118440.57,1000,118.330204
128495.96,1000,118.330243
137795.77,1000,118.330249
143036.7,1000,118.330252
144028.62,1000,118.330256
127859.84,1000,118.330259
141987.02,1000,118.330262
116999.16,1000,118.330266
119137.195,1000,118.330269
144508.86,1000,118.330272
125322.46,1000,118.330275
137962.95,1000,118.330278
129824.22,1000,118.330282
143217.19,1000,118.330285
132953.66,1000,118.330288
143715.61,1000,118.330291
144848.6,1000,120.159034
140878.97,1000,120.159077
139164.27,1000,120.159084
137571.2,1000,120.159088
117054.586,1000,120.159091
138023.5,1000,120.159095
139994.75,1000,120.159098
132923.73,1000,120.159101
116081.32,1000,120.159104
109524.59,1000,120.159108
136818.95,1000,120.159111
139746.61,1000,120.159114
141859.86,1000,120.159117
98698.65,1000,120.15912
146434.56,1000,120.159124
146141.39,1000,120.159127
126091.9,1000,122.475417
129539.57,1000,122.475455
137919.06,1000,122.475461
105027.94,1000,122.475465
123460.875,1000,122.475468
110433.0,1000,122.475472
141124.4,1000,122.475475
146324.69,1000,122.475478
119525.07,1000,122.475482
146050.2,1000,122.475485
133037.0,1000,122.475488
105871.445,1000,122.475491
147101.4,1000,122.475494
131133.73,1000,122.475497
144582.31,1000,122.4755
105711.71,1000,122.475503
146264.86,1000,124.271934
142746.97,1000,124.271975
146420.11,1000,124.271981
134178.2,1000,124.271985
147573.72,1000,124.271989
148451.72,1000,124.271992
142376.05,1000,124.271995
140619.62,1000,124.271999
128671.93,1000,124.272002
123650.68,1000,124.272005
132363.86,1000,124.272008
138595.88,1000,124.272011
145948.08,1000,124.272014
144299.39,1000,124.272018
142680.38,1000,124.272021
137451.62,1000,124.272024
146069.05,1000,126.567843
140161.6,1000,126.567882
144946.17,1000,126.567888
146521.84,1000,126.567892
125617.516,1000,126.567896
145020.39,1000,126.567899
143222.81,1000,126.567902
139881.3,1000,126.567905
144478.98,1000,126.567908
144983.55,1000,126.567911
145993.58,1000,126.567914
138545.0,1000,126.567917
144385.73,1000,126.567922
146998.25,1000,126.567933
140541.94,1000,126.567935
144665.31,1000,126.567938
144321.14,1000,128.350268
136324.28,1000,128.350304
143816.33,1000,128.35031
144543.0,1000,128.350314
145633.6,1000,128.350317
128129.38,1000,128.35032
128294.75,1000,128.350322
137775.88,1000,128.350325
145210.44,1000,128.350328
132229.47,1000,128.350331
137552.38,1000,128.350334
126651.555,1000,128.350337
119170.805,1000,128.35034
122058.76,1000,128.350343
89417.56,1000,128.350346
134074.98,1000,128.350348
147952.11,1000,130.687708
147473.98,1000,130.687796
146387.17,1000,130.687822
129692.89,1000,130.687844
146033.58,1000,130.687848
144996.66,1000,130.687852
122853.6,1000,130.687855
146397.5,1000,130.687857
123884.695,1000,130.68786
145569.02,1000,130.687863
144940.03,1000,130.687866
137613.03,1000,130.687869
121331.2,1000,130.687872
89216.734,1000,130.687875
125054.44,1000,130.687878
105460.06,1000,130.687881
146356.42,1000,132.519721
149097.11,1000,132.51976
124212.03,1000,132.519766
148303.5,1000,132.51977
145354.88,1000,132.519774
149514.73,1000,132.519778
147722.83,1000,132.519781
136937.62,1000,132.519784
148453.64,1000,132.519787
148011.83,1000,132.51979
114514.945,1000,132.519794
143348.64,1000,132.519797
132283.31,1000,132.5198
144724.61,1000,132.519804
147737.02,1000,132.519807
147867.36,1000,132.51981
139546.64,1000,134.788976
148462.44,1000,134.789016
141844.94,1000,134.789022
143014.1,1000,134.789026
149023.64,1000,134.78903
148696.98,1000,134.789033
151290.84,1000,134.789037
148163.67,1000,134.789039
146677.9,1000,134.789042
147499.22,1000,134.789046
147195.66,1000,134.789049
121239.914,1000,134.789052
147709.0,1000,134.789056
130736.16,1000,134.789059
143013.98,1000,134.789062
149799.48,1000,134.789065
149973.7,1000,136.618588
147407.08,1000,136.618631
146320.08,1000,136.618637
146577.12,1000,136.618641
138674.83,1000,136.618644
144120.5,1000,136.618647
121448.24,1000,136.618651
148007.12,1000,136.618654
133382.6,1000,136.618657
148626.28,1000,136.61866
149277.86,1000,136.618664
148844.11,1000,136.618667
147182.92,1000,136.61867
122705.92,1000,136.618673
149201.97,1000,136.618676
133186.56,1000,136.618679
134860.53,1000,139.349233
145368.67,1000,139.349277
142585.94,1000,139.349284
147019.86,1000,139.349288
140184.81,1000,139.349291
148132.14,1000,139.349294
149969.69,1000,139.349297
148889.7,1000,139.3493
148584.22,1000,139.349304
147709.23,1000,139.349307
148857.39,1000,139.34931
147907.97,1000,139.349314
148224.73,1000,139.349317
146331.84,1000,139.34932
125005.44,1000,139.349323
148351.9,1000,139.349326
149686.48,1000,141.547629
147814.44,1000,141.547676
147854.6,1000,141.547683
132929.03,1000,141.547687
148116.66,1000,141.547691
148651.16,1000,141.547694
141667.58,1000,141.547697
148869.36,1000,141.5477
148473.47,1000,141.547704
138616.94,1000,141.547708
151060.67,1000,141.547712
148799.72,1000,141.547715
139293.78,1000,141.547718
148205.56,1000,141.547721
144604.11,1000,141.547725
147368.1,1000,141.547728
98038.29,1000,144.414701
148339.11,1000,144.414746
144834.47,1000,144.414752
148482.61,1000,144.414756
149444.3,1000,144.414759
151218.69,1000,144.414762
149208.22,1000,144.414765
148128.56,1000,144.414768
148070.73,1000,144.414772
149234.66,1000,144.414775
150179.64,1000,144.414779
127578.49,1000,144.414782
149109.7,1000,144.414785
150818.7,1000,144.414788
148788.47,1000,144.414791
150160.84,1000,144.414794
147716.55,1000,146.486977
150170.16,1000,146.487019
150918.97,1000,146.487025
149069.2,1000,146.487028
150584.4,1000,146.487032
143506.7,1000,146.487035
149127.9,1000,146.487038
94994.57,1000,146.487042
148218.97,1000,146.487045
147747.97,1000,146.487048
146965.62,1000,146.487051
129088.64,1000,146.487054
149332.69,1000,146.487057
140543.25,1000,146.48706
149641.58,1000,146.487063
149856.55,1000,146.487067
151256.14,1000,148.7772
147833.52,1000,148.777241
148705.77,1000,148.777247
148610.1,1000,148.777252
149745.25,1000,148.777256
150757.33,1000,148.77726
150008.69,1000,148.777272
149648.7,1000,148.777277
149889.47,1000,148.777281
150094.14,1000,148.777284
136799.97,1000,148.777288
150983.1,1000,148.777291
130158.94,1000,148.777294
150796.14,1000,148.777297
149360.08,1000,148.7773
149970.44,1000,148.777302
150873.72,1000,150.597133
151184.86,1000,150.597164
150674.67,1000,150.59717
147328.47,1000,150.597174
149076.06,1000,150.597177
149684.0,1000,150.59718
150283.89,1000,150.597183
151314.02,1000,150.597186
114288.26,1000,150.597189
152294.5,1000,150.597192
149866.27,1000,150.597194
150937.62,1000,150.597197
148597.06,1000,150.5972
151682.97,1000,150.597203
150972.72,1000,150.597206
151277.5,1000,150.597209
152209.03,1000,152.931116
95436.38,1000,152.931155
151585.31,1000,152.931161
150747.81,1000,152.931165
148466.34,1000,152.931169
152696.28,1000,152.931172
150988.83,1000,152.931175
151059.8,1000,152.931178
144651.7,1000,152.931182
151665.62,1000,152.931185
151468.11,1000,152.931188
